"english_item_id","word_pairs","english_word_full","french_item_id","french_word_full","rank","cognate_status","english_category","lexical_category","french_category","Eng_AoA","Fr_AoA"
250,"spoon - cuillere","spoon",221,"cuillere",NA,"non-cognate","household","nouns","household",20,20
252,"telephone - téléphone","telephone",250,"téléphone",113.5,"cognate","household","nouns","household",21,21
254,"toothbrush - brosse_à dent","toothbrush",214,"brosse_à dent",2,"cognate","household","nouns","household",22,22
255,"towel - serviette","towel",246,"serviette",NA,"non-cognate","household","nouns","household",23,24
256,"trash - vidanges","trash",252,"vidanges",NA,"non-cognate","household","nouns","household",24,30
258,"vacuum - aspirateur","vacuum",207,"aspirateur",NA,"non-cognate","household","nouns","household",24,29
260,"watch - montre","watch",230,"montre",NA,"non-cognate","household","nouns","household",24,26
263,"bathtub - bain","bathtub",253,"bain",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",22,17
264,"bed - lit","bed",273,"lit",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",21,21
265,"bedroom - chambre","bedroom",259,"chambre",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",25,24
266,"bench - banc","bench",254,"banc",34,"cognate","furniture_rooms","nouns","furniture_rooms",30,26
267,"chair - chaise","chair",256,"chaise",44,"cognate","furniture_rooms","nouns","furniture_rooms",21,21
268,"closet - garde_robe","closet",271,"garde_robe",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",26,29
271,"door - porte","door",278,"porte",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",20,22
272,"drawer - tiroir","drawer",286,"tiroir",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",27,28
273,"dryer - secheuse","dryer",282,"secheuse",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",28,28
274,"garage - garage","garage",270,"garage",102,"cognate","furniture_rooms","nouns","furniture_rooms",26,27
275,"high_chair - chaise_haute","high_chair",258,"chaise_haute",8,"cognate","furniture_rooms","nouns","furniture_rooms",26,28
276,"kitchen - cuisine","kitchen",260,"cuisine",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",24,25
277,"living_room - salon","living_room",281,"salon",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",27,25
278,"oven - four","oven",267,"four",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",27,28
281,"potty - pot","potty",279,"pot",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",21,23
282,"rocking_chair - chaise_berçante","rocking_chair",257,"chaise_berçante",4,"cognate","furniture_rooms","nouns","furniture_rooms",26,30
285,"shower - douche","shower",262,"douche",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",24,23
288,"stairs - escalier","stairs",264,"escalier",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",25,24
289,"stove - poele","stove",277,"poele",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",26,30
290,"table - table","table",284,"table",82.5,"cognate","furniture_rooms","nouns","furniture_rooms",24,23
291,"TV - télévision","TV",285,"télévision",15.5,"cognate","furniture_rooms","nouns","furniture_rooms",22,23
293,"washing_machine - laveuse","washing_machine",272,"laveuse",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",27,28
292,"window - fenetre","window",266,"fenetre",NA,"non-cognate","furniture_rooms","nouns","furniture_rooms",25,25
294,"backyard - cour","backyard",293,"cour",NA,"non-cognate","outside","nouns","outside",27,27
295,"cloud - nuage","cloud",304,"nuage",NA,"non-cognate","outside","nouns","outside",25,25
297,"flower - fleur","flower",298,"fleur",48.5,"cognate","outside","nouns","outside",20,20
298,"garden - jardin","garden",301,"jardin",28,"cognate","outside","nouns","outside",29,29
299,"grass - gazon","grass",299,"gazon",NA,"non-cognate","outside","nouns","outside",23,26
301,"ladder - echelle","ladder",296,"echelle",NA,"non-cognate","outside","nouns","outside",27,29
302,"lawn_mower - tondeuse","lawn_mower",315,"tondeuse",NA,"non-cognate","outside","nouns","outside",27,27
303,"moon - lune","moon",302,"lune",8,"cognate","outside","nouns","outside",21,23
304,"pool - piscine","pool",307,"piscine",NA,"non-cognate","outside","nouns","outside",24,23
305,"rain - pluie","rain",308,"pluie",NA,"non-cognate","outside","nouns","outside",22,22
306,"rock - roche","rock",309,"roche",25,"cognate","outside","nouns","outside",22,24
307,"roof - toit","roof",314,"toit",NA,"non-cognate","outside","nouns","outside",29,30
309,"shovel - pelle","shovel",305,"pelle",NA,"non-cognate","outside","nouns","outside",26,24
310,"sidewalk - trottoir","sidewalk",316,"trottoir",NA,"non-cognate","outside","nouns","outside",27,29
311,"sky - ciel","sky",292,"ciel",NA,"non-cognate","outside","nouns","outside",24,24
312,"slide - glissoire","slide",300,"glissoire",NA,"non-cognate","outside","nouns","outside",23,26
313,"snow - neige","snow",303,"neige",NA,"non-cognate","outside","nouns","outside",25,24
314,"snowman - bonhomme_de_neige","snowman",291,"bonhomme_de_neige",NA,"non-cognate","outside","nouns","outside",27,25
316,"star - etoile","star",297,"etoile",NA,"non-cognate","outside","nouns","outside",22,24
317,"stick - bâton","stick",290,"bâton",NA,"non-cognate","outside","nouns","outside",24,25
319,"street - rue","street",311,"rue",NA,"non-cognate","outside","nouns","outside",25,26
320,"sun - soleil","sun",313,"soleil",NA,"non-cognate","outside","nouns","outside",23,22
321,"swing - balancoire","swing",289,"balancoire",NA,"non-cognate","outside","nouns","outside",22,24
322,"tree - arbre","tree",287,"arbre",NA,"non-cognate","outside","nouns","outside",20,24
323,"water - eau","water",295,"eau",NA,"non-cognate","outside","nouns","outside",20,17
324,"wind - vent","wind",318,"vent",NA,"non-cognate","outside","nouns","outside",26,26
