"word_pairs","english_item_id","english_word_full","french_item_id","french_word_full","rank","cognate_status","lexical_category","english_category","french_category","Eng_AoA","Fr_AoA","matches"
"penguin - pingouin",43,"penguin",44,"pingouin",87,"cognate","nouns","animals","animals",27,27,"0.27.27.2"
"play_dough - pate_a_modeler",83,"play_dough",84,"pate_a_modeler",NA,"non-cognate","nouns","toys","toys",27,27,"0.27.27.2"
"gum - gomme",115,"gum",114,"gomme",127,"cognate","nouns","food_drink","food_drink",27,28,"0.27.28.1"
"lollipop - sucon",122,"lollipop",145,"sucon",NA,"non-cognate","nouns","food_drink","food_drink",27,28,"0.27.28.1"
"vitamins - vitamine",153,"vitamins",150,"vitamine",92,"cognate","nouns","food_drink","food_drink",27,29,"0.27.29.1"
"dish - plat",224,"dish",238,"plat",NA,"non-cognate","nouns","household","household",27,29,"0.27.29.1"
"melon - melon",124,"melon",120,"melon",89,"cognate","nouns","food_drink","food_drink",28,25,"0.28.25.1"
"wolf - loup",54,"wolf",35,"loup",NA,"non-cognate","nouns","animals","animals",28,25,"0.28.25.1"
"lamp - lampe",233,"lamp",225,"lampe",92,"cognate","nouns","household","household",28,28,"0.28.28.1"
"dryer - secheuse",273,"dryer",282,"secheuse",NA,"non-cognate","nouns","furniture_rooms","furniture_rooms",28,28,"0.28.28.1"
"jello - jello",119,"jello",117,"jello",117.5,"cognate","nouns","food_drink","food_drink",28,29,"0.28.29.1"
"nail - clou",238,"nail",218,"clou",NA,"non-cognate","nouns","household","household",28,29,"0.28.29.1"
"yogurt - yogourt",155,"yogurt",151,"yogourt",84,"cognate","nouns","food_drink","food_drink",24,20,"1.1.1"
"pencil - crayon",82,"pencil",77,"crayon",NA,"non-cognate","nouns","toys","toys",25,20,"1.1.1"
"high_chair - chaise_haute",275,"high_chair",258,"chaise_haute",8,"cognate","nouns","furniture_rooms","furniture_rooms",26,28,"1.1.10"
"pumpkin - citrouille",141,"pumpkin",102,"citrouille",NA,"non-cognate","nouns","food_drink","food_drink",25,27,"1.1.10"
"garden - jardin",298,"garden",301,"jardin",28,"cognate","nouns","outside","outside",29,29,"1.1.11"
"roof - toit",307,"roof",314,"toit",NA,"non-cognate","nouns","outside","outside",29,30,"1.1.11"
"boat - bateau",58,"boat",57,"bateau",31,"cognate","nouns","vehicles","vehicles",21,18,"1.1.12"
"water - eau",323,"water",295,"eau",NA,"non-cognate","nouns","outside","outside",20,17,"1.1.12"
"bus - autobus",59,"bus",55,"autobus",31,"cognate","nouns","vehicles","vehicles",21,22,"1.1.13"
